JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
11206,13,3,0.23,10,0.77,13,100,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,13,100,0,0,13,1,0,0,0,0,13,100,9,0.69,4,0.31,0,0,13,100
11210,36,12,0.33,24,0.67,36,100,0,0,0,0,0,0,0,0,33,0.92,0,0,3,0.08,0,0,36,100,0,0,36,1,0,0,0,0,36,100,11,0.31,25,0.69,0,0,36,100
11211,34,31,0.91,3,0.09,34,100,0,0,2,0.06,0,0,1,0.03,28,0.82,1,0.03,2,0.06,0,0,34,100,0,0,34,1,0,0,0,0,34,100,22,0.65,12,0.35,0,0,34,100
11212,10,8,0.8,2,0.2,10,100,0,0,1,0.1,0,0,1,0.1,0,0,7,0.7,1,0.1,0,0,10,100,1,0.1,9,0.9,0,0,0,0,10,100,0,0,10,1,0,0,10,100
11213,38,17,0.45,21,0.55,38,100,0,0,0,0,0,0,0,0,32,0.84,0,0,6,0.16,0,0,38,100,1,0.03,37,0.97,0,0,0,0,38,100,10,0.26,28,0.74,0,0,38,100
11214,10,7,0.7,3,0.3,10,100,0,0,0,0,0,0,5,0.5,4,0.4,1,0.1,0,0,0,0,10,100,0,0,10,1,0,0,0,0,10,100,2,0.2,8,0.8,0,0,10,100
11218,111,97,0.87,14,0.13,111,100,0,0,1,0.01,0,0,3,0.03,95,0.86,6,0.05,6,0.05,0,0,111,100,8,0.07,102,0.92,1,0.01,0,0,111,100,51,0.46,60,0.54,0,0,111,100
11219,214,182,0.85,32,0.15,214,100,0,0,1,0,0,0,1,0,205,0.96,0,0,6,0.03,1,0,214,99,2,0.01,212,0.99,0,0,0,0,214,100,112,0.52,102,0.48,0,0,214,100
11220,8,1,0.13,7,0.88,8,100,0,0,0,0,0,0,1,0.13,6,0.75,0,0,1,0.13,0,0,8,100,0,0,8,1,0,0,0,0,8,100,5,0.63,3,0.38,0,0,8,100
11223,109,53,0.49,56,0.51,109,100,0,0,1,0.01,0,0,7,0.06,95,0.87,1,0.01,5,0.05,0,0,109,100,6,0.06,102,0.94,1,0.01,0,0,109,100,20,0.18,89,0.82,0,0,109,100
11224,93,53,0.57,40,0.43,93,100,0,0,14,0.15,0,0,7,0.08,4,0.04,60,0.65,8,0.09,0,0,93,100,6,0.06,86,0.92,1,0.01,0,0,93,99,28,0.3,65,0.7,0,0,93,100
11225,52,52,1,0,0,52,100,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,52,100,0,0,52,1,0,0,0,0,52,100,22,0.42,30,0.58,0,0,52,100
11226,10,7,0.7,3,0.3,10,100,0,0,6,0.6,0,0,0,0,0,0,4,0.4,0,0,0,0,10,100,0,0,10,1,0,0,0,0,10,100,4,0.4,6,0.6,0,0,10,100
11229,52,32,0.62,20,0.38,52,100,0,0,2,0.04,0,0,5,0.1,39,0.75,2,0.04,3,0.06,1,0.02,52,100,3,0.06,49,0.94,0,0,0,0,52,100,5,0.1,47,0.9,0,0,52,100
11230,248,194,0.78,54,0.22,248,100,0,0,1,0,0,0,7,0.03,216,0.87,2,0.01,17,0.07,5,0.02,248,100,3,0.01,245,0.99,0,0,0,0,248,100,42,0.17,206,0.83,0,0,248,100
11233,14,6,0.43,8,0.57,14,100,0,0,0,0,0,0,0,0,4,0.29,9,0.64,1,0.07,0,0,14,100,0,0,14,1,0,0,0,0,14,100,5,0.36,9,0.64,0,0,14,100
11234,59,29,0.49,30,0.51,59,100,0,0,8,0.14,0,0,0,0,37,0.63,10,0.17,4,0.07,0,0,59,100,1,0.02,58,0.98,0,0,0,0,59,100,2,0.03,57,0.97,0,0,59,100
11235,50,17,0.34,33,0.66,50,100,0,0,7,0.14,0,0,4,0.08,36,0.72,2,0.04,1,0.02,0,0,50,100,1,0.02,48,0.96,1,0.02,0,0,50,100,4,0.08,46,0.92,0,0,50,100
11236,7,3,0.43,4,0.57,7,100,0,0,0,0,0,0,0,0,1,0.14,5,0.71,0,0,1,0.14,7,99,2,0.29,5,0.71,0,0,0,0,7,100,0,0,7,1,0,0,7,100
11354,2,1,0.5,1,0.5,2,100,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,2,100,2,1,0,0,0,0,0,0,2,100,0,0,2,1,0,0,2,100
11368,5,4,0.8,1,0.2,5,100,0,0,3,0.6,0,0,1,0.2,1,0.2,0,0,0,0,0,0,5,100,1,0.2,4,0.8,0,0,0,0,5,100,0,0,5,1,0,0,5,100
11372,2,1,0.5,1,0.5,2,100,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,2,1,0,0,0,0,2,100,1,0.5,1,0.5,0,0,2,100
11373,3,3,1,0,0,3,100,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,100,0,0,3,1,0,0,0,0,3,100,1,0.33,2,0.67,0,0,3,100
11374,2,0,0,2,1,2,100,0,0,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,2,100,0,0,2,1,0,0,0,0,2,100,0,0,2,1,0,0,2,100
11375,5,2,0.4,3,0.6,5,100,0,0,2,0.4,0,0,0,0,0,0,3,0.6,0,0,0,0,5,100,0,0,5,1,0,0,0,0,5,100,1,0.2,4,0.8,0,0,5,100
11415,11,6,0.55,5,0.45,11,100,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,11,100,1,0.09,10,0.91,0,0,0,0,11,100,5,0.45,6,0.55,0,0,11,100
11418,4,2,0.5,2,0.5,4,100,0,0,1,0.25,0,0,0,0,0,0,1,0.25,1,0.25,1,0.25,4,100,0,0,4,1,0,0,0,0,4,100,1,0.25,3,0.75,0,0,4,100
11419,1,0,0,1,1,1,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,100,0,0,1,1,0,0,0,0,1,100,0,0,1,1,0,0,1,100
11420,2,1,0.5,1,0.5,2,100,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,2,100,0,0,2,1,0,0,0,0,2,100,2,1,0,0,0,0,2,100
11427,2,0,0,2,1,2,100,0,0,1,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,2,100,1,0.5,1,0.5,0,0,0,0,2,100,0,0,2,1,0,0,2,100
11432,2,2,1,0,0,2,100,0,0,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,2,100,0,0,2,1,0,0,0,0,2,100,0,0,2,1,0,0,2,100
11434,4,1,0.25,3,0.75,4,100,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,100,1,0.25,3,0.75,0,0,0,0,4,100,0,0,4,1,0,0,4,100
11510,28,6,0.21,22,0.79,28,100,0,0,6,0.21,0,0,1,0.04,18,0.64,2,0.07,1,0.04,0,0,28,100,1,0.04,27,0.96,0,0,0,0,28,100,1,0.04,27,0.96,0,0,28,100
11691,37,12,0.32,25,0.68,37,100,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,37,100,0,0,37,1,0,0,0,0,37,100,3,0.08,34,0.92,0,0,37,100
