Player,Season,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephen Curry,2015-16,27,68,68,2305,694,1369,0.507,343,757,0.453,351,612,0.574,0.632,318,352,0.903,61,304,365,444,141,14,218,137,2049
LeBron James,2015-16,31,68,68,2423,647,1278,0.506,75,261,0.287,572,1017,0.562,0.536,326,452,0.721,97,405,502,448,93,42,217,126,1695
